id,drink,beforeDrink,afterDrink,change
1,beer,0.13,0.49,0.36
2,beer,0.13,0.59,0.46
3,beer,0.21,0.27,0.06
4,beer,0.25,0.43,0.18
5,beer,0.25,0.5,0.25
6,beer,0.32,0.5,0.18
7,beer,0.43,0.37,-0.06
8,beer,0.44,0.3,-0.14
9,beer,0.46,0.58,0.12
10,beer,0.5,0.89,0.39
11,beer,0.5,0.67,0.17
12,beer,0.5,0.34,-0.16
13,beer,0.53,0.48,-0.05
14,beer,0.54,0.73,0.19
15,beer,0.55,0.8,0.25
16,beer,0.55,0.86,0.31
17,beer,0.6,0.77,0.17
18,beer,0.6,0.57,-0.03
19,beer,0.64,0.87,0.23
20,beer,0.65,0.62,-0.03
21,beer,0.67,0.93,0.26
22,beer,0.7,1,0.3
23,beer,0.7,0.81,0.11
24,beer,0.79,0.92,0.13
25,beer,0.79,1,0.21
26,water,0.12,0.16,0.04
27,water,0.14,0.14,0
28,water,0.14,0.06,-0.08
29,water,0.2,0.08,-0.12
30,water,0.22,0.42,0.2
31,water,0.3,0.26,-0.04
32,water,0.36,0.46,0.1
33,water,0.35,0.39,0.04
34,water,0.4,0.42,0.02
35,water,0.42,0.66,0.24
36,water,0.42,0.47,0.05
37,water,0.42,0.52,0.1
38,water,0.42,0.54,0.12
39,water,0.43,0.41,-0.02
40,water,0.45,0.47,0.02
41,water,0.57,0.49,-0.08
42,water,0.6,0.43,-0.17
43,water,0.73,0.45,-0.28
